                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2726,                 4.9946,                 1.6908,                0.15653,                0.24182,                0.15294,                0.11102,                 1.0933,                  3.297,                 1.6654,                 0.0704,              0.0032889,              0.0032889
                      1,                0.94581,                 2.7262,                 1.3613,                0.38854,                0.49159,                 0.4536,                0.34294,                0.87838,                 2.1412,                 1.4088,               0.040334,              0.0065567,              0.0065567
                      2,                0.94458,                 2.1962,                  1.327,                0.47699,                0.49614,                0.48726,                0.37437,                 0.9458,                  2.235,                 1.5017,               0.010203,              0.0097584,              0.0097584
                      3,                0.97983,                 1.9824,                 1.3261,                0.33977,                0.40321,                0.34462,                0.22043,                 1.4355,                 2.9479,                 2.0608,               0.009703,               0.009703,               0.009703
                      4,                0.95714,                 1.8143,                 1.3133,                0.67476,                 0.5523,                0.64107,                0.48792,                0.96857,                 1.5697,                 1.4665,               0.009703,               0.009703,               0.009703
                      5,                0.98184,                 1.7376,                 1.3237,                0.63685,                0.48893,                 0.5973,                0.44222,                 1.0592,                 1.7586,                 1.6135,               0.009604,               0.009604,               0.009604
                      6,                0.97905,                 1.6236,                 1.3179,                0.62304,                0.66317,                0.75133,                 0.5878,                0.87379,                 1.3932,                 1.3715,               0.009505,               0.009505,               0.009505
                      7,                0.93079,                 1.5004,                 1.2861,                0.58764,                0.58092,                0.63155,                0.48113,                 1.0271,                 1.5739,                 1.5313,               0.009406,               0.009406,               0.009406
                      8,                0.93262,                 1.4654,                   1.29,                0.77987,                0.75892,                0.86813,                0.68876,                0.82483,                0.98626,                 1.3275,               0.009307,               0.009307,               0.009307
                      9,                0.90966,                 1.3659,                 1.2643,                0.84416,                0.80651,                0.88707,                0.71743,                 0.7653,                 0.8535,                 1.2574,               0.009208,               0.009208,               0.009208
                     10,                0.89481,                 1.3347,                 1.2541,                0.78581,                0.84633,                0.89745,                0.73673,                0.74231,                0.84913,                 1.2503,               0.009109,               0.009109,               0.009109
                     11,                0.89067,                 1.3107,                 1.2481,                0.72318,                0.57016,                0.65485,                0.50772,                 1.0626,                 1.6048,                 1.5795,                0.00901,                0.00901,                0.00901
                     12,                0.88279,                 1.2501,                 1.2467,                0.78577,                0.83371,                0.89258,                0.73956,                0.71163,                0.86187,                 1.2001,               0.008911,               0.008911,               0.008911
                     13,                0.87715,                 1.2444,                 1.2372,                0.85483,                0.88722,                0.94741,                0.78926,                0.70041,                0.67568,                 1.1919,               0.008812,               0.008812,               0.008812
                     14,                0.85896,                 1.2363,                 1.2282,                 0.8795,                0.85574,                0.93793,                0.78426,                0.70674,                0.73778,                 1.2074,               0.008713,               0.008713,               0.008713
