                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.68705,                0.72282,                 1.1138,                 0.8943,                0.86179,                0.92755,                0.75919,                0.85564,                0.64419,                 1.2767,               0.006634,               0.006634,               0.006634
                     36,                0.68954,                0.73765,                 1.1157,                0.90903,                0.86429,                0.94848,                0.75918,                0.85397,                0.58573,                 1.2695,               0.006535,               0.006535,               0.006535
                     37,                 0.7126,                0.75312,                  1.127,                0.92648,                0.89668,                0.95027,                0.77655,                0.84355,                0.55182,                 1.2587,               0.006436,               0.006436,               0.006436
                     38,                0.69055,                0.70994,                 1.1203,                0.93002,                0.89434,                0.96529,                0.75761,                0.94129,                0.55424,                 1.3069,               0.006337,               0.006337,               0.006337
                     39,                 0.6716,                 0.7159,                 1.0996,                0.90953,                0.87787,                0.94802,                0.77097,                0.88858,                0.60046,                 1.2798,               0.006238,               0.006238,               0.006238
                     40,                0.66844,                0.71285,                  1.105,                0.90855,                0.88336,                0.95004,                0.77534,                0.83298,                0.54325,                 1.2391,               0.006139,               0.006139,               0.006139
                     41,                0.67144,                0.70692,                 1.1078,                0.88947,                 0.8809,                0.94936,                0.77832,                0.83187,                0.57309,                 1.2538,                0.00604,                0.00604,                0.00604
                     42,                0.66505,                0.67227,                 1.1052,                0.91953,                0.87769,                0.94764,                 0.7696,                0.86309,                0.58923,                 1.2555,               0.005941,               0.005941,               0.005941
                     43,                 0.6551,                0.65816,                 1.1008,                0.92349,                0.89383,                0.95074,                0.75348,                 0.9557,                0.58121,                 1.3696,               0.005842,               0.005842,               0.005842
                     44,                0.67147,                0.65999,                 1.1028,                0.90556,                0.90102,                0.95352,                0.75632,                0.93924,                0.55226,                  1.341,               0.005743,               0.005743,               0.005743
                     45,                 0.6557,                 0.6591,                 1.0993,                0.85742,                0.90867,                 0.9524,                0.78255,                0.84258,                0.60442,                 1.2712,               0.005644,               0.005644,               0.005644
                     46,                0.64092,                0.62249,                 1.0908,                0.92015,                0.89304,                0.94163,                0.75015,                0.90116,                0.59459,                 1.2855,               0.005545,               0.005545,               0.005545
                     47,                0.64571,                0.65289,                 1.0967,                0.87014,                0.87965,                0.92757,                0.74098,                0.91921,                0.68123,                  1.328,               0.005446,               0.005446,               0.005446
