                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.0016,                 5.9418,                 1.9071,                0.28207,                0.40481,                0.19164,                0.11247,                 1.5235,                 2.8139,                 1.6875,                 0.0703,                 0.0033,                 0.0033
                      1,                 1.4294,                 2.5236,                 1.3943,                0.51827,                0.43452,                0.47038,                 0.2695,                 1.5353,                 2.2966,                 1.7187,               0.040234,              0.0065677,              0.0065677
                      2,                 1.4097,                 1.9911,                 1.3712,                0.47462,                0.45883,                0.45225,                0.26116,                 1.6179,                 2.3232,                 1.8036,               0.010103,              0.0097693,              0.0097693
                      3,                 1.4222,                 1.7072,                 1.3518,                 0.4282,                0.55225,                 0.4665,                0.26723,                 1.5558,                 2.4363,                 1.6615,               0.009703,               0.009703,               0.009703
                      4,                  1.412,                  1.501,                 1.3349,                0.47012,                0.29542,                0.31627,                0.16998,                  1.681,                 3.7056,                 1.6592,               0.009703,               0.009703,               0.009703
                      5,                 1.3675,                 1.3827,                 1.3001,                0.55504,                0.46498,                 0.4703,                0.26419,                 1.5996,                 2.1369,                 1.7161,               0.009604,               0.009604,               0.009604
                      6,                 1.3775,                 1.2831,                 1.3112,                0.55729,                0.58303,                0.60781,                0.35802,                 1.6094,                 1.8593,                  1.682,               0.009505,               0.009505,               0.009505
                      7,                  1.336,                 1.1953,                 1.2776,                0.45321,                0.52722,                0.58857,                0.35721,                 1.4959,                 1.6993,                  1.672,               0.009406,               0.009406,               0.009406
                      8,                 1.3172,                 1.1493,                 1.2801,                0.58069,                0.57187,                0.59167,                0.35489,                 1.6058,                 1.7101,                 1.7052,               0.009307,               0.009307,               0.009307
                      9,                 1.3001,                  1.121,                 1.2596,                0.50427,                0.65241,                0.60705,                0.33835,                 1.6757,                 1.7307,                 1.7813,               0.009208,               0.009208,               0.009208
                     10,                 1.2703,                 1.0984,                 1.2608,                0.53212,                0.55099,                0.60633,                0.33838,                 1.7192,                 2.0547,                  1.773,               0.009109,               0.009109,               0.009109
                     11,                 1.2582,                 1.0369,                 1.2495,                0.61551,                0.53348,                0.61466,                0.34697,                 1.6421,                 1.8291,                 1.7544,                0.00901,                0.00901,                0.00901
                     12,                 1.2462,                 1.0062,                 1.2308,                0.53618,                0.59486,                 0.5303,                 0.2746,                 1.7782,                  1.878,                 1.9419,               0.008911,               0.008911,               0.008911
                     13,                  1.226,                 0.9524,                 1.2183,                0.55453,                 0.5844,                0.64736,                0.36583,                 1.6974,                 1.7969,                 1.8253,               0.008812,               0.008812,               0.008812
                     14,                 1.2185,                0.95872,                  1.215,                0.50187,                0.53793,                0.56216,                0.30276,                 1.7127,                 2.1695,                  1.808,               0.008713,               0.008713,               0.008713
                     15,                 1.1816,                 0.9002,                  1.198,                 0.6229,                0.47826,                0.60185,                0.31617,                 1.7191,                 1.9024,                 1.8381,               0.008614,               0.008614,               0.008614
                     16,                 1.1748,                0.90649,                 1.2019,                0.66329,                0.51896,                0.60145,                0.35497,                 1.6147,                 2.1583,                 1.6991,               0.008515,               0.008515,               0.008515
                     17,                 1.1633,                0.90168,                 1.1961,                0.66151,                0.50196,                0.59628,                0.34989,                 1.6044,                 2.4398,                 1.7538,               0.008416,               0.008416,               0.008416
                     18,                 1.1594,                0.84906,                 1.1833,                0.56147,                0.59989,                0.60633,                0.32877,                 1.7436,                 1.8605,                  1.876,               0.008317,               0.008317,               0.008317
                     19,                 1.0989,                0.81456,                 1.1477,                0.60857,                0.57878,                0.65267,                0.36511,                 1.7049,                 1.6594,                 1.8283,               0.008218,               0.008218,               0.008218
                     20,                 1.0889,                0.81807,                 1.1535,                 0.5704,                0.66126,                0.64527,                0.36094,                 1.6731,                 1.6275,                  1.822,               0.008119,               0.008119,               0.008119
                     21,                 1.0889,                0.80978,                 1.1482,                0.61633,                0.61832,                0.66373,                0.36124,                 1.7351,                 1.6801,                 1.8705,                0.00802,                0.00802,                0.00802
                     22,                 1.0627,                0.78082,                 1.1375,                0.53039,                0.53397,                0.58243,                0.32152,                 1.7153,                 2.2077,                 1.8632,               0.007921,               0.007921,               0.007921
                     23,                 1.0599,                0.75622,                 1.1378,                0.62375,                0.56077,                0.63104,                0.32761,                 1.8109,                 1.8922,                 2.0071,               0.007822,               0.007822,               0.007822
                     24,                 1.0438,                0.73107,                 1.1329,                0.59129,                0.59947,                0.61399,                0.33615,                 1.6843,                 1.9302,                 1.8162,               0.007723,               0.007723,               0.007723
                     25,                 1.0552,                0.74097,                 1.1391,                 0.6748,                0.55618,                0.59927,                0.31897,                 1.7745,                 2.2939,                 1.9148,               0.007624,               0.007624,               0.007624
                     26,                 1.0059,                0.71778,                 1.1058,                0.49956,                 0.6216,                0.64001,                0.35146,                  1.758,                  1.778,                  1.943,               0.007525,               0.007525,               0.007525
                     27,                 1.0121,                 0.7106,                 1.1139,                0.69229,                0.50322,                0.63227,                0.36353,                 1.6267,                 1.8226,                  1.772,               0.007426,               0.007426,               0.007426
                     28,                0.98504,                0.68359,                 1.0891,                0.54027,                0.49343,                0.56758,                0.31878,                 1.7464,                 2.5114,                 1.8989,               0.007327,               0.007327,               0.007327
                     29,                0.99714,                0.73555,                 1.1048,                0.59897,                0.58667,                0.62076,                0.32914,                 1.7735,                 1.9251,                   1.95,               0.007228,               0.007228,               0.007228
                     30,                0.97046,                0.69042,                 1.0921,                0.52593,                 0.5808,                0.60609,                0.34024,                 1.7236,                 1.9297,                 1.9139,               0.007129,               0.007129,               0.007129
                     31,                0.94441,                 0.6698,                 1.0828,                0.54926,                0.56303,                0.59647,                0.32192,                 1.7291,                 2.1466,                 1.9094,                0.00703,                0.00703,                0.00703
                     32,                0.94819,                0.65636,                  1.086,                 0.6616,                0.61548,                0.62839,                0.35061,                 1.7265,                 1.8449,                 1.9581,               0.006931,               0.006931,               0.006931
                     33,                0.94066,                0.65172,                 1.0786,                0.44403,                0.53565,                0.53803,                0.30342,                  1.768,                 2.0855,                 1.9781,               0.006832,               0.006832,               0.006832
                     34,                0.92159,                0.65559,                 1.0774,                0.50744,                0.56792,                0.56045,                0.30626,                 1.7484,                  2.406,                 1.9882,               0.006733,               0.006733,               0.006733
                     35,                0.92443,                0.65607,                 1.0743,                0.53946,                0.50802,                0.57337,                0.30118,                 1.8054,                 2.4394,                  2.049,               0.006634,               0.006634,               0.006634
                     36,                0.91776,                0.64153,                 1.0659,                0.53853,                0.56892,                0.58667,                0.33145,                 1.7186,                 2.0196,                 1.9836,               0.006535,               0.006535,               0.006535
                     37,                0.90715,                0.61763,                 1.0674,                0.56412,                0.63151,                0.61561,                0.30747,                 1.8217,                 1.9074,                  2.064,               0.006436,               0.006436,               0.006436
                     38,                0.87884,                0.59859,                 1.0436,                0.58514,                0.57548,                0.61832,                0.32397,                 1.8183,                  2.148,                 2.1016,               0.006337,               0.006337,               0.006337
                     39,                0.88874,                0.61789,                 1.0566,                0.47915,                0.53851,                 0.5684,                0.31876,                 1.7369,                 2.2588,                 1.9591,               0.006238,               0.006238,               0.006238
                     40,                0.85394,                0.60765,                 1.0361,                0.57592,                0.57118,                0.63129,                0.35546,                  1.726,                 1.9561,                 2.0276,               0.006139,               0.006139,               0.006139
                     41,                0.84383,                0.59587,                 1.0287,                0.65828,                 0.6045,                0.65224,                0.34969,                 1.7847,                 1.9891,                 2.0818,                0.00604,                0.00604,                0.00604
                     42,                0.84963,                0.59488,                 1.0357,                0.57888,                0.62884,                0.67885,                0.35979,                 1.7803,                 1.8049,                 2.0966,               0.005941,               0.005941,               0.005941
                     43,                0.83345,                0.56977,                 1.0284,                0.60603,                0.53399,                0.59929,                0.34826,                 1.6903,                 2.2709,                 1.9499,               0.005842,               0.005842,               0.005842
                     44,                0.82479,                0.56763,                 1.0228,                0.58061,                0.58921,                0.64338,                0.36246,                 1.7911,                 1.9486,                 2.1376,               0.005743,               0.005743,               0.005743
                     45,                0.80936,                0.57394,                 1.0186,                0.46002,                0.57984,                0.55102,                0.30499,                 1.7421,                 2.1109,                  2.049,               0.005644,               0.005644,               0.005644
                     46,                0.79838,                0.54119,                 1.0176,                 0.5134,                0.55608,                0.58428,                0.31789,                 1.7865,                 2.0849,                 2.0652,               0.005545,               0.005545,               0.005545
                     47,                0.80349,                0.55232,                 1.0179,                0.60665,                0.65158,                0.66619,                0.36575,                  1.751,                 1.7338,                 2.0375,               0.005446,               0.005446,               0.005446
                     48,                0.77517,                0.54407,                0.99828,                 0.5681,                0.55645,                0.57679,                0.31251,                 1.7186,                 2.1245,                 2.0482,               0.005347,               0.005347,               0.005347
                     49,                 0.7755,                0.53204,                 1.0004,                0.54475,                0.53525,                0.60925,                0.34843,                 1.6749,                 2.0553,                 1.9652,               0.005248,               0.005248,               0.005248
                     50,                0.78056,                0.53763,                0.99876,                0.53658,                0.54845,                0.56705,                0.31055,                 1.7533,                 2.2429,                 2.0768,               0.005149,               0.005149,               0.005149
                     51,                0.75855,                0.52856,                 1.0016,                0.56905,                0.62839,                0.59841,                0.33982,                 1.7228,                  1.884,                 1.9914,                0.00505,                0.00505,                0.00505
                     52,                0.75549,                0.51534,                0.98622,                0.51962,                0.64664,                0.61113,                0.34064,                 1.7198,                 1.8591,                 2.0796,               0.004951,               0.004951,               0.004951
                     53,                0.76247,                0.52554,                0.99819,                0.58144,                0.58835,                0.58435,                0.31775,                 1.7453,                 2.2493,                  2.008,               0.004852,               0.004852,               0.004852
                     54,                0.73308,                0.51124,                0.98743,                0.52688,                0.60405,                0.59722,                0.33115,                 1.7012,                 1.9831,                  2.018,               0.004753,               0.004753,               0.004753
                     55,                0.72024,                0.48739,                0.97806,                0.66452,                0.57663,                0.64459,                0.36638,                 1.6872,                 1.7761,                 2.0295,               0.004654,               0.004654,               0.004654
                     56,                0.71708,                0.49326,                0.98128,                0.61523,                0.52914,                0.60968,                0.32398,                 1.7804,                 2.0468,                 2.0954,               0.004555,               0.004555,               0.004555
                     57,                0.70957,                 0.4912,                0.97137,                0.58016,                0.57782,                0.65196,                0.36764,                 1.6947,                 1.9984,                 2.0098,               0.004456,               0.004456,               0.004456
                     58,                0.70152,                0.49211,                0.97033,                0.62333,                0.58279,                0.65555,                0.36999,                 1.6948,                 1.9393,                 2.0423,               0.004357,               0.004357,               0.004357
                     59,                 0.6875,                0.46623,                0.96027,                0.59461,                 0.5938,                0.64058,                0.34305,                 1.8067,                 2.0534,                 2.1658,               0.004258,               0.004258,               0.004258
                     60,                0.69328,                 0.4862,                0.97493,                0.62791,                0.62173,                0.65296,                0.35797,                 1.7857,                 1.8935,                 2.1911,               0.004159,               0.004159,               0.004159
                     61,                0.68041,                0.46951,                0.96503,                0.57991,                0.60298,                0.63566,                 0.3607,                 1.7146,                 2.0243,                 2.1028,                0.00406,                0.00406,                0.00406
                     62,                0.67519,                0.45634,                0.95348,                0.61978,                0.54564,                 0.5898,                0.33756,                  1.699,                 2.1081,                 2.0743,               0.003961,               0.003961,               0.003961
                     63,                0.66016,                0.44868,                0.94603,                0.67168,                0.57915,                0.65462,                0.37218,                 1.7003,                    2.1,                 2.0366,               0.003862,               0.003862,               0.003862
                     64,                0.65566,                0.44992,                0.94823,                0.63636,                0.56183,                0.64431,                0.36796,                 1.7324,                 2.1677,                 2.0798,               0.003763,               0.003763,               0.003763
                     65,                0.65263,                0.44825,                0.95168,                0.61972,                0.53729,                0.61393,                0.35139,                 1.7237,                 2.2735,                 2.1285,               0.003664,               0.003664,               0.003664
                     66,                0.64087,                0.43721,                0.94142,                0.64883,                   0.58,                0.63147,                0.34955,                 1.7481,                 2.1619,                 2.1528,               0.003565,               0.003565,               0.003565
                     67,                0.64587,                0.44273,                0.94245,                0.67829,                0.65894,                0.67464,                0.35669,                 1.8149,                 1.9209,                 2.2145,               0.003466,               0.003466,               0.003466
                     68,                 0.6349,                0.43756,                 0.9507,                0.72265,                0.57642,                0.65214,                0.36005,                 1.7204,                 2.0055,                 2.0878,               0.003367,               0.003367,               0.003367
                     69,                 0.6246,                0.43084,                0.93485,                0.65397,                0.61276,                0.66718,                0.37832,                 1.7374,                 1.9631,                 2.1181,               0.003268,               0.003268,               0.003268
                     70,                0.61033,                 0.4168,                0.93089,                0.66995,                0.60513,                0.65644,                0.37066,                 1.7234,                 2.0351,                 2.0952,               0.003169,               0.003169,               0.003169
                     71,                0.60829,                0.42048,                0.93136,                0.66217,                0.60031,                0.68264,                0.38889,                 1.7224,                 1.8822,                 2.1186,                0.00307,                0.00307,                0.00307
                     72,                0.61031,                0.42086,                0.93102,                0.67966,                 0.6332,                0.68793,                0.37798,                 1.7732,                 2.0895,                 2.1904,               0.002971,               0.002971,               0.002971
                     73,                0.59348,                0.40913,                0.92896,                0.63979,                0.58291,                0.65166,                0.38584,                 1.6668,                 2.1269,                 2.0592,               0.002872,               0.002872,               0.002872
                     74,                 0.6084,                 0.4194,                0.94381,                 0.6792,                0.58854,                0.67056,                0.39264,                 1.6438,                 1.9455,                 2.0022,               0.002773,               0.002773,               0.002773
                     75,                0.57613,                0.40633,                0.92361,                0.57774,                0.53436,                0.64401,                 0.3744,                 1.6582,                 2.2174,                 2.0369,               0.002674,               0.002674,               0.002674
                     76,                 0.5705,                0.40676,                0.91353,                0.60556,                0.56393,                0.62334,                0.36393,                 1.6902,                 2.2398,                 2.0984,               0.002575,               0.002575,               0.002575
                     77,                0.57673,                0.40289,                 0.9185,                 0.6544,                0.51995,                0.62915,                0.36033,                 1.7049,                 2.4508,                 2.1171,               0.002476,               0.002476,               0.002476
                     78,                0.56118,                0.39349,                0.91617,                0.57318,                0.52947,                  0.607,                0.34756,                 1.6794,                 2.3532,                 2.0967,               0.002377,               0.002377,               0.002377
                     79,                0.54722,                 0.3869,                0.90891,                0.61264,                0.53859,                0.63435,                 0.3685,                 1.6996,                 2.1065,                 2.1228,               0.002278,               0.002278,               0.002278
                     80,                0.55237,                0.37717,                0.91092,                0.66471,                0.56674,                0.66474,                0.37876,                 1.6859,                 2.0514,                 2.0928,               0.002179,               0.002179,               0.002179
                     81,                0.53686,                0.37812,                0.90401,                0.61098,                0.53182,                0.61481,                0.36041,                 1.6415,                 2.3375,                 2.0395,                0.00208,                0.00208,                0.00208
                     82,                 0.5416,                0.37757,                0.90751,                0.65243,                0.56171,                0.65141,                0.38272,                 1.6441,                 2.1716,                 2.0681,               0.001981,               0.001981,               0.001981
                     83,                 0.5315,                0.37136,                 0.9029,                0.63737,                0.56854,                0.67461,                0.38352,                 1.6771,                 2.0625,                 2.1564,               0.001882,               0.001882,               0.001882
                     84,                0.52626,                0.36475,                0.89506,                0.64706,                0.54012,                0.63893,                0.37059,                 1.6656,                 2.2883,                 2.1093,               0.001783,               0.001783,               0.001783
