                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.6644,                 5.5495,                 1.7108,                0.34273,                0.05955,                0.07203,                0.03819,                 1.6375,                 3.9433,                 1.7871,                0.07027,              0.0033033,              0.0033033
                      1,                 1.1935,                 2.4926,                 1.3137,                0.42315,                0.45161,                 0.4366,                0.27639,                 1.3357,                 2.1105,                 1.5495,               0.040205,              0.0065709,              0.0065709
                      2,                 1.1465,                  1.928,                 1.2967,                0.61496,                0.34909,                 0.4084,                0.25275,                 1.5472,                 2.5356,                 1.8885,               0.010073,              0.0097726,              0.0097726
                      3,                 1.1673,                 1.6837,                 1.3305,                0.41528,                0.51404,                0.50056,                0.27762,                 1.6326,                 1.8577,                 2.1086,               0.009703,               0.009703,               0.009703
                      4,                 1.1746,                 1.5817,                 1.3754,                0.38595,                0.33668,                0.35253,                0.17224,                 1.9677,                 2.6539,                 2.4576,               0.009703,               0.009703,               0.009703
                      5,                 1.1455,                 1.4035,                 1.3506,                 0.4185,                0.43633,                0.44954,                0.25774,                 1.7477,                 2.5605,                 2.0201,               0.009604,               0.009604,               0.009604
                      6,                 1.1308,                 1.3275,                 1.3187,                0.56058,                0.60677,                0.62003,                0.32918,                 1.8599,                  1.783,                 2.1512,               0.009505,               0.009505,               0.009505
                      7,                 1.1175,                 1.2097,                 1.3228,                0.58095,                0.54351,                0.61764,                0.30864,                  1.992,                 1.9694,                 2.4252,               0.009406,               0.009406,               0.009406
                      8,                 1.1286,                 1.1961,                 1.3433,                0.48757,                 0.6474,                0.63027,                0.38622,                 1.4376,                 1.7056,                 1.8126,               0.009307,               0.009307,               0.009307
                      9,                 1.0778,                 1.1235,                 1.3088,                0.72809,                0.59231,                0.66508,                0.38883,                 1.4973,                 1.6057,                 1.8781,               0.009208,               0.009208,               0.009208
                     10,                 1.0547,                 1.0878,                 1.3034,                0.63533,                0.56347,                0.63484,                0.32349,                 1.9749,                 1.7812,                 2.3689,               0.009109,               0.009109,               0.009109
                     11,                 1.0482,                 1.0596,                 1.3008,                0.55953,                0.67155,                0.67614,                0.41115,                 1.6079,                 1.5207,                 1.9088,                0.00901,                0.00901,                0.00901
                     12,                 1.0368,                 1.0249,                 1.2784,                0.49155,                0.60086,                0.60779,                0.39138,                 1.4974,                 1.8492,                 1.9363,               0.008911,               0.008911,               0.008911
                     13,                 1.0101,                0.97918,                 1.2876,                0.55605,                0.50155,                0.57218,                0.36664,                 1.5997,                 1.9136,                 1.9691,               0.008812,               0.008812,               0.008812
                     14,                0.99006,                0.92262,                 1.2651,                0.59733,                0.58308,                0.65975,                0.44887,                 1.2997,                 1.6416,                 1.5868,               0.008713,               0.008713,               0.008713
                     15,                0.98762,                0.92393,                 1.2621,                0.67617,                0.56065,                0.58556,                0.39157,                 1.3892,                 1.6581,                 1.8616,               0.008614,               0.008614,               0.008614
                     16,                0.97966,                0.88482,                 1.2542,                0.51661,                0.71038,                 0.7173,                0.41369,                 1.6562,                 1.6058,                 1.9875,               0.008515,               0.008515,               0.008515
                     17,                0.97045,                0.87817,                  1.243,                0.75461,                0.66865,                0.72402,                0.48751,                  1.334,                 1.3082,                 1.7033,               0.008416,               0.008416,               0.008416
                     18,                  0.973,                0.86839,                 1.2597,                 0.6992,                0.64985,                0.76983,                0.46152,                 1.5234,                 1.3447,                 1.8447,               0.008317,               0.008317,               0.008317
                     19,                0.95196,                0.85276,                 1.2409,                 0.6985,                 0.5933,                0.68497,                0.45692,                 1.4242,                 1.5505,                 1.8602,               0.008218,               0.008218,               0.008218
                     20,                0.95325,                0.82353,                 1.2275,                0.76769,                0.67419,                0.80369,                0.52322,                 1.3859,                 1.1846,                 1.7726,               0.008119,               0.008119,               0.008119
                     21,                0.94246,                0.83832,                 1.2442,                0.74455,                0.64902,                0.78181,                0.45604,                 1.6321,                 1.3678,                 1.9667,                0.00802,                0.00802,                0.00802
                     22,                0.92962,                0.77918,                 1.2337,                0.57245,                0.60803,                0.67486,                0.42866,                 1.4511,                  1.692,                 1.8706,               0.007921,               0.007921,               0.007921
                     23,                0.91029,                0.75725,                 1.2226,                0.68841,                0.64118,                  0.694,                0.33909,                 1.9813,                 1.5319,                 2.6401,               0.007822,               0.007822,               0.007822
                     24,                0.92222,                0.77925,                 1.2314,                0.53079,                0.61379,                0.64341,                0.43387,                 1.3603,                 1.6348,                 1.8068,               0.007723,               0.007723,               0.007723
                     25,                0.92288,                0.77835,                 1.2358,                0.63219,                0.63418,                0.72221,                0.41104,                 1.6183,                 1.3422,                 2.0257,               0.007624,               0.007624,               0.007624
                     26,                 0.9027,                0.76191,                 1.2058,                0.70582,                 0.7422,                0.76377,                0.48601,                 1.4639,                 1.3615,                 1.8094,               0.007525,               0.007525,               0.007525
                     27,                0.90655,                 0.7561,                 1.2212,                0.70405,                0.67985,                0.73421,                0.42354,                 1.6563,                  1.433,                 2.1534,               0.007426,               0.007426,               0.007426
                     28,                 0.8698,                0.71559,                 1.1943,                  0.584,                0.68822,                0.69133,                0.42207,                 1.5029,                 1.5005,                 1.8663,               0.007327,               0.007327,               0.007327
                     29,                 0.8884,                0.74439,                  1.207,                0.68699,                0.79708,                0.78434,                0.50151,                 1.4979,                 1.2354,                 1.9313,               0.007228,               0.007228,               0.007228
                     30,                  0.888,                0.69232,                 1.2061,                0.79442,                0.66558,                0.78263,                0.53734,                 1.2212,                 1.2181,                 1.5427,               0.007129,               0.007129,               0.007129
                     31,                0.86575,                0.70269,                  1.187,                0.69228,                0.69101,                 0.7744,                0.47483,                 1.5293,                 1.4813,                 1.9094,                0.00703,                0.00703,                0.00703
                     32,                0.86895,                0.69203,                 1.1805,                0.77678,                0.69857,                0.80238,                0.48119,                 1.5019,                 1.5157,                 1.9648,               0.006931,               0.006931,               0.006931
                     33,                0.86107,                0.70497,                 1.1875,                0.72264,                0.68702,                0.81343,                0.48588,                 1.5827,                  1.241,                  2.029,               0.006832,               0.006832,               0.006832
                     34,                0.85562,                0.69641,                 1.1916,                 0.6695,                0.70731,                0.76601,                0.46796,                 1.6138,                 1.3283,                 2.1563,               0.006733,               0.006733,               0.006733
                     35,                0.85531,                0.67211,                 1.1785,                0.65898,                0.45538,                0.52495,                0.37351,                 1.5855,                 2.4499,                 2.0272,               0.006634,               0.006634,               0.006634
                     36,                0.85703,                0.69661,                 1.1929,                0.75177,                 0.5121,                0.62851,                0.40938,                 1.4437,                 2.1153,                 1.8084,               0.006535,               0.006535,               0.006535
                     37,                0.83622,                0.64681,                  1.176,                0.79857,                0.59494,                0.74762,                0.49265,                 1.3966,                 1.3759,                 1.8038,               0.006436,               0.006436,               0.006436
                     38,                0.83525,                0.65212,                 1.1583,                0.65216,                0.67034,                0.74895,                0.49763,                  1.346,                 1.5527,                 1.6841,               0.006337,               0.006337,               0.006337
                     39,                0.83403,                0.64716,                 1.1637,                0.69515,                0.57403,                0.67714,                0.42533,                 1.5349,                 1.8691,                 2.0227,               0.006238,               0.006238,               0.006238
                     40,                0.82208,                0.62625,                 1.1541,                0.62512,                0.66135,                0.71211,                0.47112,                 1.3931,                  1.415,                 1.8244,               0.006139,               0.006139,               0.006139
                     41,                0.82215,                0.63114,                 1.1682,                0.65545,                0.52926,                0.57389,                0.41817,                 1.3694,                   2.14,                 1.7896,                0.00604,                0.00604,                0.00604
                     42,                0.82258,                0.62511,                 1.1676,                 0.6971,                0.61504,                0.72083,                0.44361,                 1.5593,                 1.6161,                 1.9986,               0.005941,               0.005941,               0.005941
